foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q391756,Richard Graham,Q9626,Conservative Party (UK),29159,Q30173038,General election 2019,1
Q67499213,,Fran Boait,Q6467393,Labour Co-operative,18882,Q30173038,General election 2019,2
Q75839183,,Rebecca Trimnell,Q9624,Liberal Democrats (UK),4338,Q30173038,General election 2019,3
Q75975676,,Michael Byfield,Q9669,Green Party of England and Wales,1385,Q30173038,General election 2019,4
,Q391756,Richard Graham,Q9626,Conservative Party (UK),27208,Q25052149,General election 2017,1
,,Barry Kirby,Q9630,Labour Party (UK),21688,Q25052149,General election 2017,2
,,Jeremy Hilton,Q9624,Liberal Democrats (UK),2716,Q25052149,General election 2017,3
,,Daniel Woolf,Q10647,UK Independence Party,1495,Q25052149,General election 2017,4
,,Gerald Hartley,Q9669,Green Party of England and Wales,754,Q25052149,General election 2017,5
Q76130513,,George Ridgeon,Q1421227,Official Monster Raving Loony Party,210,Q25052149,General election 2017,6
,Q391756,Richard Graham,Q9626,Conservative Party (UK),23837,Q3586935,General election 2015,1
,,Sophy Gardner,Q9630,Labour Party (UK),16586,Q3586935,General election 2015,2
,,Richard Ford,Q10647,UK Independence Party,7497,Q3586935,General election 2015,3
,,Jeremy Hilton,Q9624,Liberal Democrats (UK),2828,Q3586935,General election 2015,4
,,Jonathan Ingleby,Q9669,Green Party of England and Wales,1485,Q3586935,General election 2015,5
Q76130513,,George Ridgeon,Q1421227,Official Monster Raving Loony Party,277,Q3586935,General election 2015,6
,,Sue Powell,Q980923,Trade Unionist and Socialist Coalition,58,Q3586935,General election 2015,7
,Q391756,Richard Graham,Q9626,Conservative Party (UK),20267,Q215622,General election 2010,1
,Q5621232,Parmjit Dhanda,Q9630,Labour Party (UK),17847,Q215622,General election 2010,2
,,Jeremy Hilton,Q9624,Liberal Democrats (UK),9767,Q215622,General election 2010,3
,,Mike Smith,Q10647,UK Independence Party,1808,Q215622,General election 2010,4
,,Alan Platt,Q2479228,English Democrats,564,Q215622,General election 2010,5
,,Bryan Meloy,Q9669,Green Party of England and Wales,511,Q215622,General election 2010,6
,Q5621232,Parmjit Dhanda,Q9630,Labour Party (UK),23138,Q428598,General election 2005,1
,,Paul James,Q9626,Conservative Party (UK),18867,Q428598,General election 2005,2
,,Jeremy Hilton,Q9624,Liberal Democrats (UK),7825,Q428598,General election 2005,3
,,Gary Phipps,Q10647,UK Independence Party,1116,Q428598,General election 2005,4
,,Bryan Meloy,Q9669,Green Party of England and Wales,857,Q428598,General election 2005,5
,Q5621232,Parmjit Dhanda,Q9630,Labour Party (UK),22067,Q590740,General election 2001,1
,,Paul James,Q9626,Conservative Party (UK),18187,Q590740,General election 2001,2
,,Tim Bullamore,Q9624,Liberal Democrats (UK),6875,Q590740,General election 2001,3
,,Terry Lines,Q10647,UK Independence Party,822,Q590740,General election 2001,4
,,Stewart Smyth,Q7551508,Socialist Alliance (England),272,Q590740,General election 2001,5
,Q7705570,Tess Kingham,Q9630,Labour Party (UK),28943,Q918503,General election 1997,1
,Q5301489,Douglas French,Q9626,Conservative Party (UK),20684,Q918503,General election 1997,2
,,Peter Munisamy,Q9624,Liberal Democrats (UK),6069,Q918503,General election 1997,3
,,Andrew Reid,Q278315,Referendum Party,1482,Q918503,General election 1997,4
,,A. L. Harris,Q10647,UK Independence Party,455,Q918503,General election 1997,5
,,Moira Hamilton,Q491782,Natural Law Party,281,Q918503,General election 1997,6
,Q5301489,Douglas French,Q9626,Conservative Party (UK),29870,Q543609,General election 1992,1
,,Kevin E. Stephens,Q9630,Labour Party (UK),23801,Q543609,General election 1992,2
,,John M. Sewell,Q9624,Liberal Democrats (UK),10978,Q543609,General election 1992,3
,Q5301489,Douglas French,Q9626,Conservative Party (UK),29826,Q918472,General election 1987,1
,,David Hulme,Q9630,Labour Party (UK),17791,Q918472,General election 1987,2
,,Jeremy Hilton,Q622441,Liberal Party (UK),12417,Q918472,General election 1987,3
,Q1533969,Sally Oppenheim,Q9626,Conservative Party (UK),27235,Q918466,General election 1983,1
,,C. W. V. Hinds,Q9630,Labour Party (UK),14698,Q918466,General election 1983,2
,,M. Golder,Q40052,Social Democratic Party (UK),13499,Q918466,General election 1983,3
,,J. Waters,Q15980875,Ecology Party,479,Q918466,General election 1983,4
,,Richard Rhodes,Q161269,British National Party,260,Q918466,General election 1983,5
,Q1533969,Sally Oppenheim,Q9626,Conservative Party (UK),25163,Q918450,General election 1979,1
,,M. D. Golder,Q9630,Labour Party (UK),18747,Q918450,General election 1979,2
,,D. G. Halford,Q622441,Liberal Party (UK),7213,Q918450,General election 1979,3
,,R. Morgan,Q158093,National Front (United Kingdom),527,Q918450,General election 1979,4
,Q1533969,Sally Oppenheim,Q9626,Conservative Party (UK),22664,Q918508,General election October 1974,1
,Q285249,Ann Clwyd,Q9630,Labour Party (UK),19136,Q918508,General election October 1974,2
,,D. G. Halford,Q622441,Liberal Party (UK),7357,Q918508,General election October 1974,3
,Q1533969,Sally Oppenheim,Q9626,Conservative Party (UK),23052,Q119524,General election February 1974,1
,,A. E. Pegler,Q9630,Labour Party (UK),18215,Q119524,General election February 1974,2
,,D. Halford,Q622441,Liberal Party (UK),10155,Q119524,General election February 1974,3
,,B. Gordon-Storkey,Q98555022,Powell Conservative,366,Q119524,General election February 1974,4
,Q1533969,Sally Oppenheim,Q9626,Conservative Party (UK),21838,Q918442,General election 1970,1
,Q6229339,Jack Diamond,Q9630,Labour Party (UK),20777,Q918442,General election 1970,2
,,James P. Heppell,Q622441,Liberal Party (UK),3935,Q918442,General election 1970,3
,Q6229339,Jack Diamond,Q9630,Labour Party (UK),20951,Q918430,General election 1966,1
,,Christopher J. J. Balfour,Q9626,Conservative Party (UK),15678,Q918430,General election 1966,2
,Q6031701,Inga-Stina Robson,Q622441,Liberal Party (UK),6540,Q918430,General election 1966,3
,Q6229339,Jack Diamond,Q9630,Labour Party (UK),19631,Q220208,General election 1964,1
,Q6239169,John Stokes,Q9626,Conservative Party (UK),15514,Q220208,General election 1964,2
,Q6031701,Inga-Stina Robson,Q622441,Liberal Party (UK),7581,Q220208,General election 1964,3
,,Russell Eckley,Q327591,Independent politician,380,Q220208,General election 1964,4
,Q6229339,John Diamond,Q9630,Labour Party (UK),19450,Q918420,General election 1959,1
,,H. D. Keith Scott,Q9626,Conservative Party (UK),16679,Q918420,General election 1959,2
,,Patrick Herbert Lort-Phillips,Q622441,Liberal Party (UK),7336,Q918420,General election 1959,3
,Q6229339,John Diamond,Q9630,Labour Party (UK),18895,Q18160042,1957 Gloucester by-election,1
,,F. J. V. H. Dashwood,Q9626,Conservative Party (UK),10521,Q18160042,1957 Gloucester by-election,2
,,Patrick Herbert Lort-Phillips,Q622441,Liberal Party (UK),7393,Q18160042,1957 Gloucester by-election,3
,Q6916603,Moss Turner-Samuels,Q9630,Labour Party (UK),21354,Q918412,General election 1955,1
,Q5237924,David Napley,Q9626,Conservative Party (UK),20606,Q918412,General election 1955,2
,Q6916603,Moss Turner-Samuels,Q9630,Labour Party (UK),21097,Q3722280,General election 1951,1
,Q573477,Anthony Kershaw,Q9626,Conservative Party (UK),18836,Q3722280,General election 1951,2
,,Gordon E Payne,Q622441,Liberal Party (UK),3292,Q3722280,General election 1951,3
,Q6916603,Moss Turner-Samuels,Q9630,Labour Party (UK),20202,Q748667,General election 1950,1
,Q573477,Anthony Kershaw,Q1354368,Conservative and National Liberal,15708,Q748667,General election 1950,2
,Q18619279,Harold Arthur Guy,Q622441,Liberal Party (UK),6444,Q748667,General election 1950,3
,Q6916603,Moss Turner-Samuels,Q9630,Labour Party (UK),14010,Q918397,General election 1945,1
,Q6530658,Leslie Boyce,Q9626,Conservative Party (UK),10466,Q918397,General election 1945,2
,Q18619279,Harold Arthur Guy,Q622441,Liberal Party (UK),5338,Q918397,General election 1945,3
,Q6530658,Leslie Boyce,Q9626,Conservative Party (UK),15682,Q918378,General election 1935,1
,Q6916603,Moss Turner-Samuels,Q9630,Labour Party (UK),11803,Q918378,General election 1935,2
,Q6530658,Leslie Boyce,Q9626,Conservative Party (UK),19201,Q918375,General election 1931,1
,Q21664423,Charles Fox,Q9630,Labour Party (UK),9223,Q918375,General election 1931,2
,Q6530658,Leslie Boyce,Q9626,Unionist Party (UK),11041,Q517639,General election 1929,1
,Q5726361,Henry Nixon,Q9630,Labour Party (UK),10548,Q517639,General election 1929,2
,Q15997752,Thomas Worrall Casey,Q622441,Liberal Party (UK),6589,Q517639,General election 1929,3
,Q13592719,James Horlick,Q9626,Unionist Party (UK),10525,Q2632991,General election 1924,1
,Q6911814,M. Philips Price,Q9630,Labour Party (UK),8005,Q2632991,General election 1924,2
,,Theobald Mathew,Q622441,Liberal Party (UK),3566,Q2632991,General election 1924,3
,Q13592719,James Horlick,Q9626,Unionist Party (UK),8630,Q3084294,General election 1923,1
,Q6911814,M. Philips Price,Q9630,Labour Party (UK),8127,Q3084294,General election 1923,2
,Q16889272,Arthur Stanton,Q622441,Liberal Party (UK),6011,Q3084294,General election 1923,3
,Q24206429,James Bruton,Q9626,Unionist Party (UK),7922,Q3084303,General election 1922,1
,Q6911814,M. Philips Price,Q9630,Labour Party (UK),7871,Q3084303,General election 1922,2
,Q16889272,Arthur Stanton,Q622441,Liberal Party (UK),6050,Q3084303,General election 1922,3
,Q24206429,James Bruton,Q9626,Unionist Party (UK),8470,Q3042701,General election 1918,1
,,Thomas Henry Mordey,Q622441,Liberal Party (UK),5246,Q3042701,General election 1918,2
,,William Levason Edwards,Q9630,Labour Party (UK),2860,Q3042701,General election 1918,3
,Q24289595,Henry Terrell,Q9626,Conservative Party (UK),3903,Q3076583,General election December 1910,1
,Q5628220,H. F. B. Lynch,Q622441,Liberal Party (UK),3899,Q3076583,General election December 1910,2
,Q24289595,Henry Terrell,Q9626,Conservative Party (UK),4109,Q3075752,General election January 1910,1
,Q7381741,Russell Rea,Q622441,Liberal Party (UK),3983,Q3075752,General election January 1910,2
,Q7381741,Russell Rea,Q622441,Liberal Party (UK),3921,Q3076606,General election 1906,1
,Q24289595,Henry Terrell,Q9626,Conservative Party (UK),3619,Q3076606,General election 1906,2
,Q7381741,Russell Rea,Q622441,Liberal Party (UK),3267,Q918358,General election 1900,1
,Q7130550,Pandeli Ralli,Q1754707,Liberal Unionist,3044,Q918358,General election 1900,2
,Q5079451,Charles James Monk,Q1754707,Liberal Unionist Party,3264,Q7888019,General election 1895,1
,Q7981723,Arthur Wells,Q622441,Liberal Party (UK),2791,Q7888019,General election 1895,2
,Q7793595,Thomas Robinson,Q622441,Liberal Party (UK),2885,Q7888018,General election 1892,1
,Q5079451,Charles James Monk,Q1754707,Liberal Unionist,2800,Q7888018,General election 1892,2
,Q7793595,Thomas Robinson,Q622441,Liberal Party (UK),1908,Q7888016,General election 1886,1
,,John Ward,Q9626,Conservative Party (UK),1713,Q7888016,General election 1886,2
,Q7793595,Thomas Robinson,Q622441,Liberal Party (UK),2222,Q3397257,General election 1885,1
,Q24579038,William Killigrew Wait,Q9626,Conservative Party (UK),1726,Q3397257,General election 1885,2
,Q7793595,Thomas Robinson,Q622441,Liberal Party (UK),2797,Q2074515,General election 1880,1
,Q5079451,Charles James Monk,Q622441,Liberal Party (UK),2680,Q2074515,General election 1880,2
,Q24579038,William Killigrew Wait,Q9626,Conservative Party (UK),2304,Q2074515,General election 1880,3
,Q4889248,Benjamin St John Ackers,Q9626,Conservative Party (UK),1898,Q2074515,General election 1880,4
,Q24579038,William Killigrew Wait,Q9626,Conservative Party (UK),2132,Q918351,General election 1874,1
,Q5079451,Charles James Monk,Q622441,Liberal Party (UK),2070,Q918351,General election 1874,2
,Q6242231,John Joseph Powell,Q622441,Liberal Party (UK),1990,Q918351,General election 1874,3
,Q7529330,Trevor Lawrence,Q9626,Conservative Party (UK),1865,Q918351,General election 1874,4
,Q24579038,William Killigrew Wait,Q9626,Conservative Party (UK),1850,Q16839344,"By-election, 8 May 1873",1
,Q7793595,Thomas Robinson,Q622441,Liberal Party (UK),1767,Q16839344,"By-election, 8 May 1873",2
,Q8016852,William Philip Price,Q622441,Liberal Party (UK),1933,Q2074525,General election 1868,1
,Q5079451,Charles James Monk,Q622441,Liberal Party (UK),1922,Q2074525,General election 1868,2
,Q16062642,William Nassau Lees,Q9626,Conservative Party (UK),1520,Q2074525,General election 1868,3
,,Edward John Brennan,Q9626,Conservative Party (UK),1504,Q2074525,General election 1868,4
,Q8016852,William Philip Price,Q622441,Liberal Party (UK),854,Q2074533,General election 1865,1
,Q5079451,Charles James Monk,Q622441,Liberal Party (UK),774,Q2074533,General election 1865,2
Q98555865,,Adam Steinmetz Kennard,Q9626,Conservative Party (UK),726,Q2074533,General election 1865,3
,Q5075565,Charles Berkeley,Q622441,Liberal Party (UK),761,Q98556161,"By-election, 26 February 1862",1
,Q6242231,John Joseph Powell,Q622441,Liberal Party (UK),716,Q98556161,"By-election, 26 February 1862",2
,Q7328485,Richard Potter,Q9626,Conservative Party (UK),687,Q98556161,"By-election, 26 February 1862",3
,Q8016852,William Philip Price,Q622441,Liberal Party (UK),807,Q4345445,General election 1859,1
,Q5079451,Charles James Monk,Q622441,Liberal Party (UK),779,Q4345445,General election 1859,2
,Q13529861,Robert Carden,Q9626,Conservative Party (UK),595,Q4345445,General election 1859,3
,Q13529861,Robert Carden,Q9626,Conservative Party (UK),742,Q4345446,General election 1857,1
,Q8016852,William Philip Price,Q1687668,Radicals (UK),717,Q4345446,General election 1857,2
,Q11771724,Maurice Berkeley,Q108700,Whigs (British political party),710,Q4345446,General election 1857,3
,Q11771724,Maurice Berkeley,Q108700,Whigs (British political party),761,Q98556162,"By-election, 4 January 1853",1
,Q15990054,Henry Thomas Hope,Q9626,Conservative Party (UK),670,Q98556162,"By-election, 4 January 1853",2
,Q8016852,William Philip Price,Q1687668,Radicals (UK),831,Q3943728,General election 1852,1
,Q11771724,Maurice Berkeley,Q108700,Whigs (British political party),786,Q3943728,General election 1852,2
,Q15990054,Henry Thomas Hope,Q9626,Conservative Party (UK),760,Q3943728,General election 1852,3
,Q16853324,John Phillpotts,Q108700,Whigs (British political party),753,Q2073185,General election 1841,1
,Q11771724,Maurice Berkeley,Q108700,Whigs (British political party),732,Q2073185,General election 1841,2
,Q15990054,Henry Thomas Hope,Q9626,Conservative Party (UK),646,Q2073185,General election 1841,3
,,John Henry Loftus,Q9626,Conservative Party (UK),510,Q2073185,General election 1841,4
,Q15990054,Henry Thomas Hope,Q9626,Conservative Party (UK),685,Q98556163,"By-election, 21 May 1838",1
,Q16741857,Edward Webb,Q108700,Whigs (British political party),579,Q98556163,"By-election, 21 May 1838",2
,Q15990054,Henry Thomas Hope,Q9626,Conservative Party (UK),727,Q2037966,General election 1837,1
,Q16853324,John Phillpotts,Q108700,Whigs (British political party),710,Q2037966,General election 1837,2
,Q11771724,Maurice Berkeley,Q108700,Whigs (British political party),630,Q2037966,General election 1837,3
,Q11771724,Maurice Berkeley,Q108700,Whigs (British political party),708,Q1834355,General election 1835,1
,Q15990054,Henry Thomas Hope,Q9626,Conservative Party (UK),621,Q1834355,General election 1835,2
,Q16853324,John Phillpotts,Q108700,Whigs (British political party),598,Q1834355,General election 1835,3
,,William Cother,Q9626,Conservative Party (UK),402,Q1834355,General election 1835,4
,Q15990054,Henry Thomas Hope,Q499956,Tories (British political party),566,Q98556165,"By-election, 9 April 1833",1
,Q11771724,Maurice Berkeley,Q108700,Whigs (British political party),457,Q98556165,"By-election, 9 April 1833",2
,Q11771724,Maurice Berkeley,Q108700,Whigs (British political party),684,Q1582019,General election 1832,1
,Q16853324,John Phillpotts,Q108700,Whigs (British political party),658,Q1582019,General election 1832,2
,Q15990054,Henry Thomas Hope,Q499956,Tories (British political party),549,Q1582019,General election 1832,3
,Q11771724,Maurice Berkeley,Q108700,Whigs (British political party),730,Q1188713,General election 1831,1
,Q16741857,Edward Webb,Q108700,Whigs (British political party),699,Q1188713,General election 1831,2
,Q16853324,John Phillpotts,Q108700,Whigs (British political party),270,Q1188713,General election 1831,3
